Alphabet,Immatriculation,Raison sociale,Enseigne,Adresse,Code postal,Ville,Téléphone,Fax,E-mail,Site web,Hyperlink
A,IM 045 12 0006,ACCESS TOURISME SERVICE,- ATS -,"24, RUE DU 11 NOVEMBRE",45130,CHARSONVILLE,+33 2 38 74 28 40,,access.tourisme.service@wanadoo.fr,access-tourisme.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32305
A,IM 059 10 0010,ACFE SELS - VIVALANGUES / UNOSEL,,"12, RUE DE CONDÉ - BP 90221",59562,LA MADELEINE CEDEX,+33 3 20 63 11 02,,viva@vivalangues.fr,www.vivalangues.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32595
A,IM 075 12 0239,ACI VOYAGE / MANOR,ACI WORLD WIDE TRAVEL - MANOR,"75, AVENUE PARMENTIER",75011,PARIS,+33 1 40 21 11 10,,ticketing@acivoyage.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33787
A,IM 017 11 0007,ACTIF VOYAGES / HAVAS VOYAGES,HAVAS VOYAGES,"22, RUE COCHON DUVIVIER",17300,ROCHEFORT,+33 5 46 88 43 94,,rochefort@havas-voyages.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31808
A,IM 075 10 0192,ACTION SEJOURS / UNOSEL,,"13, RUE ROSENWALD",75015,PARIS,+33 1 45 30 91 91,,nperot@action-sejours.com,www.action-sejours.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33366
A,IM 030 12 0002,ACTIVE FRANCE ADVENTURES,DISCOVER FRANCE,"427, RUE HÉLÈNE BOUCHER",34130,MAUGUIO,+33 4 67 15 82 00,,thomas@discoverfrance.com,www.discoverfrance.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31938
A,IM 075 10 0063,ACTIVE TRAVEL AND LANGUAGE / UNOSEL,ATL,"131, RUE DE PICPUS, 11, rue de la Derance",75012,PARIS,+33 1 43 07 07 90,,olivier@sejours-atl.fr,www.sejours-atl.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33333
A,IM 013 10 0127,ACTUEL VOYAGES / CEDIV,CEDIV,"PÔLE COMMERCIAL LES CARABINS, 179, rue Paradis",13270,FOS SUR MER,+33 4 42 05 06 95,,actuel-voyages@orange.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31705
A,IM 064 10 0055,ADICHAT'S VOYAGES,,426 ROUTE D'OLORON,64360,LUCQ-DE-BÉARN,+33 5 59 34 39 00,,cabauzit@tendancesud.com,https://adichatsvoyages.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32817
A,IM 034 11 0032,ADOS VOYAGES SAS / CDMV,REVE D'AILLEURS - CDMV,"71, RUE DES CARRIÈRES",34160,SAINT GENIES DES MORGUES,+33 4 67 75 18 67,,contact@adosvoyages.com,https://www.classes-decouvertes.com/,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32047
A,IM 075 16 0013,AEROCAP SERVICES - BEL AFRICA / CDMV,CDMV,"155, RUE DU FAUBOURG SAINT-DENIS",75010,PARIS,+33 6 33 40 57 73,,contact@belafrica.net,www.belafrica.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33944
A,IM 069 10 0031,AEROSUN / SELECTOUR,AEROSUN VOYAGES / ESCAPADES TO,"24, RUE RENÉ CASSIN",69009,LYON,+33 4 72 43 98 98,,dduc@aerosun.fr,www.aerosun.biz,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32936
A,IM 075 16 0011,AERTICKET FRANCE SAS,,"1 BIS, RUE EDMOND NOCARD",94410,SAINT MAURICE,+33 6 74 66 22 27,,charlotte@aerticket.fr,https://cockpit.aerticket.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33943
A,IM 094 11 0022,AFS VIVRE SANS FRONTIERE,,8 QUAI BIR HAKEIM - CS 815,94415,SAINT MAURICE CEDEX,+33 1 45 14 03 10,,info-france@afs.org,www.afs-fr.org,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34714
A,IM 047 10 0007,AGENA VOYAGES / SELECTOUR,,"1216, AVENUE DU MIDI",47000,AGEN,+33 5 53 66 62 42,,carole@agena-voyages.com,www.agena-voyages.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32335
A,IM 044 10 0010,AGENCE DE BOÜARD - LA MAISON DES VOYAEGS / SELECTOUR,PREFERENCE,"6, PLACE BILANGE - BP 213",49415,SAUMUR CEDEX,,,saumurvoyages@preference-360.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32215
A,IM 080 11 0005,AGENCE DE VOYAGES PERDIGEON / AVP,,ZONE INDUSTRIELLE DE LA CHAPELETTE,80200,PERONNE,+33 3 22 20 73 73,,perdigeon.voyages@wanadoo.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34124
A,IM 049 12 0004,AGENCE DE VOYAGES ROBIN / SELECTOUR,ATV VOYAGES,"75, AVENUE MONTAIGNE - ESPACE ANJOU",49100,ANGERS,,,atvvoyages@selectour.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32391
A,IM 062 11 0017,AGENCE DELANNOY JUMEZ / HAVAS VOYAGES,HAVAS VOYAGES,"219, ROUTE NATIONALE",62290,NOEUX LES MINES,+33 3 21 54 71 54,,voyagesdelannoy.noeux@wanadoo.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32761
A,IM 059 11 0036,AGENCE MER ET SOLEIL / CEDIV,CEDIV,"92, RUE DE L'EPEULE",59100,ROUBAIX,+33 3 20 28 05 28,,agencemeretsoleil@orange.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32638
A,IM 971 10 0008,AGENCE PENCHARD / SELECTOUR,,"1 BIS, RUE DE LA RÉPUBLIQUE",97100,BASSE TERRE (GUADELOUPE),+33 5 90 81 27 12,,jmpenchard@penchard-voyages.fr,www.penchard-voyages.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34768
A,IM 031 10 0017,AGENCE PROFIL ORGANISATION,A.P.O.,B.A.L N° 602 - HÉLIOS 4,31100,TOULOUSE,+33 5 61 20 56 09,,denis.saura@profilorganisation.fr,www.profilorganisation.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31956
A,IM 033 10 0026,AGENCE REOLAISE EVASIONS / SELECTOUR,AGR EVASIONS LANGON VOYAGES,"21, PLACE DU GÉNÉRAL DE GAULLE",33210,LANGON,+33 5 56 63 11 11,,langon.voyages@agrevasions.fr,www.agrevasions.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31996
A,IM 049 17 0002,AGENCE V COMME VOYAGES / SELECTOUR,,"4, PLACE PIERRE MENDÈS FRANCE",49100,ANGERS,+33 2 41 74 15 07,,p.voisin@voyages-voisin.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32401
A,IM 075 15 0044,AGENCE VALVITAL,Valvital,"16, RUE DE BEAUJOLAIS",75001,PARIS,+33 4 79 35 68 39,,catherine.riac@valvital.fr,www.valvital.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33894
A,IM 049 12 0008,AGENCE VOYAGES BESSON,,"21, RUE NATIONALE",49690,CORON,+33 2 41 49 07 49,,voyages.besson@wanadoo.fr,www.voyages-besson.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32397
A,IM 017 10 0014,AGENCE YSSEO,YSSEO EVENT - MON SEMINAIRE A LA ROCHELLE,"6 TER, RUE DE LA DÉSIRÉE-LA VILLE EN BOIS",17000,LA ROCHELLE,+33 5 46 29 70 91,,info@ysseoevent.com,www.ysseoevent.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31799
A,IM 006 10 0005,AGETOURS VOYAGES / SELECTOUR,AGETOURS - CMONAGENCE.COM,"43, BLD GAMBETTA",06000,NICE,+33 4 93 82 00 24,,agetours@gmail.com,www.cmonvoyage.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31502
A,IM 056 10 0019,AILLEURS ET AUTREMENT VOYAGES / CEDIV,AGENCE DE VOYAGES S.A.Y.A. / CEDIV,"16, RUE DU FOUR MOLLET",56400,AURAY,+33 2 97 56 32 21,,contact@ailleurs-et-autrement.com,www.ailluers-et-autrement.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32527
A,IM 075 10 0193,AIM'VOYAGES / TOURCOM,TOURCOM,"52, RUE DES ACACIAS",75017,PARIS,+33 1 40 55 80 60,,aim.voyages@wanadoo.fr,www.aimvoyages.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33367
A,IM 976 12 0001,AIR MAYOTTE VOYAGES / SELECTOUR,AMVOYAGES,CC LUKIDA,97690,KOUNGOU,06.39.69.10.05,,sejours@agences-issoufali.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34863
A,IM 974 12 0001,AIR VOYAGES,,"40, RUE DES BONS ENFANTS - BP 89 -",97453,SAINT PIERRE - LA REUNION,+33 2 62 96 27 17,,mhmdgangat@orange.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34848
A,IM 094 10 0021,AIRMASTERS,,"163, RUE DES ROSES",77710,SERVON,+33 1 45 18 35 25,,ans@airmasters.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34704
A,IM 075 13 0023,AIRWAYS DEVELOPPEMENT ET CONSEILS / MANOR,Holding Airways Développement et Conseils,"20, RUE DE GRAMONT",75002,PARIS,+33 1 40 15 91 91,,kaboub@airwaysdc.com,www.airwaysdc.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33807
A,IM 031 10 0025,ALACARTE VOYAGES - OVALIE EVENTS,OVALIE EVENTS,"45, CENTRE COMMERCIAL SAINT-CAPRAIS",31240,L'UNION,+33 5 34 60 56 63,,alacarte31@free.fr,www.alacarte31.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31958
A,IM 075 11 0266,ALAIN ALBERIC LIBERT VOYAGES / SELECTOUR,LIBERT VOYAGES,"116, RUE DE TOCQUEVILLE",75017,PARIS,+33 1 47 66 01 88,,agence@libertvoyages.fr,www.libertvoyages.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33728
A,IM 006 12 0001,ALAZURA VOYAGES / SELECTOUR,,"MARCHÉ FORVILLE, 17, rue du Dr Pierre Gazagnaire",06400,CANNES,+33 4 97 06 90 30,,alazura@selectour.com,www.alazuravoyages.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31529
A,IM 059 12 0003,ALBATOUR / HAVAS VOYAGES,HAVAS VOYAGES,"251, RUE DE PARIS",59500,DOUAI,+33 3 27 99 73 69,,albatour.douai@wanadoo.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32645
A,IM 081 10 0003,ALBI VOYAGE / SELECTOUR,,"21, AVENUE GAMBETTA",81000,ALBI,+33 5 63 49 46 56,,ralabert@selectour.com,www.albivoyage.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34132
A,IM 073 10 0045,ALEFA / UNOSEL,SANS FRONTIERES,"33, AVENUE D'ITALIE",75013,PARIS,+33 4 79 31 27 06,,direction@sans-frontieres.fr,www.sans-frontieres.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33263
A,IM 012 15 0002,ALFA VOYAGES / SELECTOUR,,"120, PLACE WILSON",12300,DECAZEVILLE,+33 5 65 63 50 05,,alfavoyages@gmail.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31671
A,IM 094 11 0033,ALFORT VOYAGES / MANOR,SKY EXPERT AGENCY,"11 BIS, PLACE JEAN MOULIN",94700,MAISONS ALFORT,+33 1 49 77 82 04,,alfort.voyages@wanadoo.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34718
A,IM 974 10 0001,ALIZOA VOYAGES,,RÉSIDENCE PERLE DES ROCHES,97434,SAINT GILLES LES BAINS,+33 2 62 24 58 45,,pdebiasi@alizoavoyages.com,www.alizoavoyages.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34810
A,IM 971 12 0012,ALL ABOUT ST BARTS / CEDIV,DESTINATION ST BARTS - CEDIV,"2, RUE DU ROI OSCAR II - GUSTAVIA",97133,SAINT BARTHELEMY,06.90.56.45.68,,elodie@allaboutstbarts.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34777
A,IM 006 14 0015,ALL IS EVENT,,"71, AVENUE DE BRANCOLAR",06100,NICE,+33 9 80 48 97 87,,franck.lafargue@all-is-event.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31548
A,IM 075 11 0286,ALLAMANDA VOYAGES / MANOR,,"3, IMPASSE DE LA GAITÉ",75014,PARIS,+33 1 43 22 99 99,,pierremariecossart@allamanda-voyages.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33732
A,IM 075 12 0140,ALLEES VENUES SAS / MANOR,,"20, RUE GÉNÉRAL BERTRAND",75007,PARIS,+33 1 53 58 45 00,,pascale.ado@alleesvenues.fr,www.alleevenues.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33769
A,IM 042 19 0009,ALLEZ OOP VOYAGES - TUI,TUI FRANCE - TUI STORE,"3, PLACE DES PROMENADES",42300,ROANNE,+33 4 77 78 13 64,,agenceroanne-mdt@tuifrance.com,www.agences-de-voyages.tui.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32200
A,IM 075 12 0267,ALLTOURS / SELECTOUR,,"22, AVENUE DE FLANDRE",75019,PARIS,+33 1 40 38 92 31,,youcef.alltours@selectour.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33793
A,IM 075 17 0062,ALMA MUNDI / CDMV,CDMV,"4, PASSAGE DES ABBESSES",75018,PARIS,+33 9 54 37 91 73,,tanja@alma-mundi.fr,www.alma-mundi.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33955
A,IM 033 17 0019,ALMASAND VOYAGES/ CEDIV,TUI STORE - CEDIV,"8, AVENUE DE VERDUN",33610,CESTAS,+33 5 57 00 92 70,,agencecestas@almasandvoyages.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32024
A,IM 064 22 0004,ALOE VOYAGES / SELECTOUR,Sarlu Aloe Voyages,"35, RUE DU GÉNÉRAL LECLERC",64110,JURANCON,+33 5 35 53 94 50,,aloevoyages@selectour.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32842
A,IM 085 10 0031,ALOUETTES VOYAGES,,"1, RUE CLÉMENT ADER",85620,ROCHESERVIERE,+33 2 51 94 90 71,,alouette@voyages-bourmaud.net,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34217
A,IM 004 12 0006,ALPES MEDITERRANEE VOYAGES / SELECTOUR,SCAL VOYAGES,PLACE DU TAMPINET,04000,DIGNE LES BAINS,+33 4 92 32 12 93,,scalvoyages@selectour.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31487
A,IM 026 10 0009,ALPES TOURS RESERVATION,ATR DECOUVERTE,"1, RUE ZAMENHOF",26200,MONTELIMAR,+33 4 75 10 02 10,,marc@atr-decouverte.fr,www.atr-decouverte.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31867
A,IM 094 17 0004,ALPITOUR FRANCE,BRAVO CLUB,"13, AVENUE DU GÉNÉRAL LECLERC, Tour Lumina 13",94700,MAISONS ALFORT,,,patrice.caradec@alpitour.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34734
A,IM 067 10 0025,ALSACE CROISIERES - CROISIEUROPE,CROISI EUROPE - CROISI VOYAGES,"12, RUE DE LA DIVISION LECLERC",67080,STRASBOURG CEDEX,+33 3 88 76 44 44,,mfarago@croisieurope.com,www.croisieurope.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32874
A,IM 054 10 0011,ALSAVOSGES TOURISME / SELECTOUR,,"1 BIS, RUE DU PRÉ CONTAL",54300,LUNEVILLE,+33 3 83 73 23 98,,alsavosges.tourisme1@orange.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32482
A,IM 075 10 0154,ALTAREIS / CEDIV,ALTANUEVA - CEDIV -,"20, RUE DU SENTIER",75002,PARIS,+33 1 40 13 15 60,,fb@altanueva.fr,www.altanueva.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33357
A,IM 078 18 0001,ALTERRUMBO SARL,,"8, RUE DES FRÈRES CAUDRON",78140,VELIZY VILLACOUBLAY,+33 6 67 29 09 60,,contact@alterrumbo.com,www.alterrumbo.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34108
A,IM 075 12 0148,ALTIMONDE VOYAGES / MANOR,Groupe Amplitudes,"7, RUE DE LOUVOIS",75002,PARIS,+33 1 42 86 84 98,,contact@amplitudes.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33770
A,IM 075 11 0181,ALTIS / CDMV,CDMV,"1, CITÉ DE TRÉVISE",75009,PARIS,+33 1 44 83 84 22,,y.hervy@altis-voyages.fr,www.altis-voyages.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33703
A,IM 075 15 0065,ALTITUDES TRAVEL / SELECTOUR,Plateau Affaires,"10, RUE DE LOUVOIS",75002,PARIS,+33 1 75 43 67 01,,bdaboville@altitudestravel.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33941
A,IM 075 10 0229,ALTOUR FRANCE / MANOR,UNIGLOBE,"140, AVENUE JOSEPH KESSEL",78960,VOISINS LE BRETONNEUX,+33 1 39 44 79 90,,fcalvino@agisvoyages.com,www.agisbt.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33388
A,IM 068 12 0010,ALZA VOYAGES / SELECTOUR,,"5, RUE DE GIVET",68130,ALTKIRCH,+33 3 89 40 17 08,,info@alza-voyages.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32919
A,IM 092 17 0013,AM VOYAGES / SELECTOUR,,"12, RUE DE CHÉZY",92200,NEUILLY SUR SEINE,+33 1 47 47 77 13,,amvoyages@selectour.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34539
A,IM 038 11 0008,AMA TOURISME / SELECTOUR,,"26, RUE DU BOURNET",38180,SEYSSINS,+33 4 38 12 83 53,,direction.amatourisme@selectour.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32144
A,IM 013 16 0013,AMANIVY VOYAGES / CEDIV,CEDIV,"5, CHEMIN DES DRAGÉES",13200,ARLES,+33 4 90 96 53 93,,george.valerie99@gmail.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31744
A,IM 030 22 0002,AMARENA VOYAGES SAS / CEDIV,AMARENA - CEDIV,"55, AVENUE CHARLES DE GAULLE, 116, rue André Dupont",30133,LES ANGLES,+33 4 90 90 00 00,,amarena.voyages@gmail.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31945
A,IM 095 17 0007,AMBITION VOYAGES / SELECTOUR,ARAX VOYAGES,"34, RUE JEAN JAURÈS",95400,ARNOUVILLE LES GONNESSE,+33 1 39 85 18 00,,arax@araxvoyages.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34753
A,IM 093 19 0002,AMELOMA,LVE TRAVEL,37 ALLÉE DU SABLE,33470,GUJAN MESTRAS,+33 1 42 83 64 71,,melody@lve-travel.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34699
A,IM 092 11 0059,AMERASIA,,"30, RUE PASTEUR",92150,SURESNES,+33 1 47 72 55 55,,jacky@amerasia.fr,www.amerasia.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34510
A,IM 092 14 0003,AMERICAN EXPRESS CARTE FRANCE,Travel & Lifestyle Services,"8/10, RUE HENRI SAINTE CLAIRE DEVILLE",92506,RUEIL MALMAISON,+33 1 47 77 31 45,,isabelle.b.textoris@aexp.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34533
A,IM 075 10 0088,AMERIQUES AVENTURE / CDMV,VOYAGES COUTURE - CDMV,"18, RUE STANISLAS TORRENTS",13006,MARSEILLE,+33 1 76 50 29 29,,direction@voyagescouture.com,www.voyagescouture.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33345
A,IM 075 11 0280,AMI VOYAGES INTERNATIONAL,,"157, RUE LA FAYETTE",75010,PARIS,+33 1 53 26 73 86,,amivoyages2002@free.fr,www.amivoyages.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33731
A,IM 059 17 0005,AMPA VOYAGES / CEDIV,CEDIV,"117, RUE DU GÉNÉRAL DE GAULLE",59110,LA MADELEINE,+33 3 28 05 28 85,,vincentbalague@ampavoyages.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32665
A,IM 031 10 0041,AMPLITUDES / MANOR,SARL VIGMA,"20, RUE DU REMPART SAINT ETIENNE",31000,TOULOUSE,+33 5 67 31 70 00,,contact@amplitudes.com,www.amplitudes.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31960
A,IM 075 11 0054,AMSLAV TOURISME SARL,AMSLAV - TROIKA,"60, RUE DE RICHELIEU",75002,PARIS,+33 1 40 59 43 10,,natacha@amslav.com,www.amslav.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33679
A,IM 033 13 0003,AMYTHIS,,"61 COURS GEORGES CLÉMENCEAU, Face à la Halle",33000,BORDEAUX,+33 5 56 50 78 06,,bordeaux@amythis.fr,www.amythis.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32018
A,IM 013 10 0083,ANAPIA VOYAGES / CDMV,CDMV,"9, ALLÉE DES FLEURS",64500,SAINT JEAN DE LUZ,+33 4 42 54 21 52,,sylvia@anapiavoyages.fr,www.anapiavoyages.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=31694
A,IM 051 10 0024,ANDALOUS TOURS / TOURCOM,TOURCOM,"13, PLACE PIERRE DE FERMAT, 550, bld Jean Monnet",51100,REIMS,+33 3 26 35 69 20,,contact@andalous-tours.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32417
A,IM 049 11 0018,ANGERS VOYAGES / SELECTOUR,COSMOS VOYAGES,"56, RUE VOLNEY",49100,ANGERS,+33 2 41 24 68 30,,y.souchet@cosmos-voyages.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32387
A,IM 082 19 0003,ANGLAIS IN FRANCE / UNOSEL,,"3, IMPASSE DE L'ANCIEN PRESBYTÈRE",82220,VAZERAC,+33 5 63 65 87 26,,contact@anglais-in-france.fr,www.anglais-in-france.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34143
A,IM 064 10 0018,ANGLET VOYAGES / SELECTOUR,,"3, AVENUE DE BAYONNE",64600,ANGLET,+33 5 59 63 64 50,,anglet.voyages.dominique@orange.fr,www.anglet-voyages.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32788
A,IM 075 00 0016,ANIMA DECOUVERTE CULTURE ET FORMATIONS,,"9, RUE DU PONT DES MORTS",57000,METZ,+33 3 72 39 09 27,,contact@anima-lorraine.fr,anima-lorraine.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33313
A,IM 074 11 0065,ANNECY TRAVEL / CEDIV,CEDIV,7 PASSAGE DE VIGNIÈRES,74000,ANNECY,+33 4 50 57 11 14,,contact@annecytravel.com,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=33291
A,IM 059 10 0034,ANNEFRANC SARL,TUI FRANCE - TUI STORE - NOUVELLES FRONTIERES,"19, PLACE CHARLES DE GAULLE",59500,DOUAI,+33 6 14 09 47 45,,myrkoralewski@yahoo.fr,,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32612
A,IM 974 18 0006,ANTHURIUM TOURISME O.I,ANTHURIUM TOURISME OCEAN INDIEN,53 ROUTE DE DOMENJOD,97490,SAINTE CLOTILDE,+33 2 62 93 13 93,,nathalie@anthurium.com,www.anthurium.com,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=34858
A,IM 067 10 0033,ANTONI VOYAGES,PRÊT A PARTIR,"8, GRAND'RUE - BP 20028",67501,HAGUENAU,+33 3 88 05 47 47,,siege@antoni-voyages.com,www.pretapartir.fr,https://edv.travel/annuaire-des-adherents/fiche-adherent/?id=32879
